Name,Location,City,P.O Box,Phone,Mobile,Company Page Link,Logo URL
Al Fanar Restaurant,"Near Ritz Carlton, Vietnam Village",Abu Dhabi,,02-4481144,,https://www.yellowpages-uae.com/uae/restaurant/al-fanar-restaurant-175608.html,
Al Farah Pastry & Grills,"Behind Crown Plaza, Hamdan Street",Abu Dhabi,,02-6333777,,https://www.yellowpages-uae.com/uae/restaurant/al-farah-pastry-grills-175507.html,
Al Fareej Restaurant,"Near Etisalat Office, Hamdan Street",Abu Dhabi,,02-6393335,055-3735435,https://www.yellowpages-uae.com/uae/restaurant/al-fareej-restaurant-175552.html,
Al Faris Restaurant,"Opp Old Fire Brigade, Al Muntazar Rd",Ras Al Khaimah,10308,07-2285682,,https://www.yellowpages-uae.com/uae/restaurant/al-faris-restaurant-134642.html,
Al Fujairah Restaurant,Electra Rd,Abu Dhabi,36874,02-6782973,,https://www.yellowpages-uae.com/uae/restaurant/al-fujairah-restaurant-138806.html,
Al Fursan,"Near Fire Station, Dibba",Fujairah,13227,09-2443211,,https://www.yellowpages-uae.com/uae/restaurant/al-fursan-146592.html,
Al Ghub Restaurant,"Bin Sultan Rd, Mamourah",Ras Al Khaimah,5410,07-2282959,,https://www.yellowpages-uae.com/uae/restaurant/al-ghub-restaurant-134251.html,
Al Grissino,DIFC,Dubai,,04-3524000,,https://www.yellowpages-uae.com/uae/restaurant/al-grissino-175790.html,
Al Habsha Restaurant,"Behind KIA Showroom, TCA",Abu Dhabi,,02-6770014,,https://www.yellowpages-uae.com/uae/restaurant/al-habsha-restaurant-175521.html,
Al Hadheeth Restaurant,"Near Rotana Hotel, Nabaa",Sharjah,96159,06-5632275,,https://www.yellowpages-uae.com/uae/restaurant/al-hadheeth-restaurant-148166.html,
Al Hajis Cafeteria and Restaurant,"Sunshine Bldg, Near Al Tayer Motors, Al Garhoud",Dubai,57671,04-2868244,,https://www.yellowpages-uae.com/uae/restaurant/al-hajis-cafeteria-and-restaurant-136247.html,
Al Hakorah Restaurant & Catering,Salam St,Abu Dhabi,4602,02-6447979,,https://www.yellowpages-uae.com/uae/restaurant/al-hakorah-restaurant-catering-164760.html,
Al Hallab Restaurant and Sweets LLC,Al Garhoud,Dubai,40350,04-2823388,,https://www.yellowpages-uae.com/uae/restaurant/al-hallab-restaurant-and-sweets-llc-128203.html,
Al Hamadi Restaurant,"Al Hamra, Jazeera",Ras Al Khaimah,6487,07-2445416,,https://www.yellowpages-uae.com/uae/restaurant/al-hamadi-restaurant-135408.html,
Al Haram Restaurant,"Near Emarat Petrol Pump, Bazaar Area",Umm Al Quwain,213,06-7656965,,https://www.yellowpages-uae.com/uae/restaurant/al-haram-restaurant-45179.html,
Al Heel Rest and Catering,Khalidia,Abu Dhabi,480,02-6215116,,https://www.yellowpages-uae.com/uae/restaurant/al-heel-rest-and-catering-135552.html,
Al Hulmiah Restaurant,"Near Liberty Signal, Al Wahda St",Sharjah,,06-5259382,,https://www.yellowpages-uae.com/uae/restaurant/al-hulmiah-restaurant-103484.html,
Al Ibrahimi Palace Restaurant,"Opp New Burjuman Centre, Karama",Dubai,,04-3977070,,https://www.yellowpages-uae.com/uae/restaurant/al-ibrahimi-palace-restaurant-175206.html,
Al Ibtihal Restaurant,,Dubai,,04-3311170,,https://www.yellowpages-uae.com/uae/restaurant/al-ibtihal-restaurant-151051.html,
Al Ijaza Cafeteria,"Beach Road, Jumeirah 1",Dubai,,04-3444874,050-3444874,https://www.yellowpages-uae.com/uae/restaurant/al-ijaza-cafeteria-175650.html,
Al Insaf Al Afghani Restaurant,"Near Mubarak Centre, Al Nabba, Rolla",Sharjah,4362,06-5618840,,https://www.yellowpages-uae.com/uae/restaurant/al-insaf-al-afghani-restaurant-147068.html,
Al Insha Restaurant,"Opp Emirates Islamic Bank, Near National Paints, Kalba Rd",Sharjah,,06-5358438,,https://www.yellowpages-uae.com/uae/restaurant/al-insha-restaurant-147388.html,
Al Irshad Restaurant,Khabisi Area,Al Ain,67394,03-7620492,,https://www.yellowpages-uae.com/uae/restaurant/al-irshad-restaurant-129163.html,
Al Ishbaa Restaurant,Near Mussalla Park,Sharjah,,06-5620410,,https://www.yellowpages-uae.com/uae/restaurant/al-ishbaa-restaurant-144273.html,
"Al Islami Foods Co, ( Al Farooj Head Office)",,Jebel Ali,21984,,,https://www.yellowpages-uae.com/uae/restaurant/al-islami-foods-co-al-farooj-head-office--146310.html,
Al Joory Hyderabadi Restaurant,"Near Old Honda S/R, Abu Shagara",Sharjah,,06-5447373,050-6424016,https://www.yellowpages-uae.com/uae/restaurant/al-joory-hyderabadi-restaurant-175363.html,
Al Kabab Al Afghani Al Jadeed Restaurant,"Opp Sadaf Rest, Al Marija St, Mena Rd",Sharjah,,06-0522554,,https://www.yellowpages-uae.com/uae/restaurant/al-kabab-al-afghani-al-jadeed-restaurant-147102.html,
Al Kabab Al Laziz Afghani Rest LLC,"Near Zulekha Hospital, Al Zahra St, Nasiriya",Sharjah,,06-5656127,,https://www.yellowpages-uae.com/uae/restaurant/al-kabab-al-laziz-afghani-rest-llc-148016.html,
Al Karnak,Al Diyafa,Dubai,,04-3980123,,https://www.yellowpages-uae.com/uae/restaurant/al-karnak-103610.html,
Al Khaial Cafeteria & Restaurant,"Al Mamzar Building, Bhnd Public Library",Dubai,,04-2628781,052-4507925,https://www.yellowpages-uae.com/uae/restaurant/al-khaial-cafeteria-restaurant-172954.html,
Al Khaja Group,,Dubai,5060,04-3808787,,https://www.yellowpages-uae.com/uae/restaurant/al-khaja-group-152652.html,
Al Khaja Hospitality,Deira,Dubai,5060,04-2973000,,https://www.yellowpages-uae.com/uae/restaurant/al-khaja-hospitality-113662.html,
Al Khaleej Al Arabi Pastry,,Sharjah,,06-5368950,050-9781207,https://www.yellowpages-uae.com/uae/restaurant/al-khaleej-al-arabi-pastry-175234.html,
Al Khaleej Al Latheethah Pastry,Al Buhaira,Sharjah,,06-5564443,,https://www.yellowpages-uae.com/uae/restaurant/al-khaleej-al-latheethah-pastry-145530.html,
Al Khiyma Restaurant,"Near Sahara Centre, Al Nahda St",Sharjah,21107,06-5314858,,https://www.yellowpages-uae.com/uae/restaurant/al-khiyma-restaurant-136501.html,
Al Khoor Restaurant,"Bhnd Old Sharjah Cinema, Rolla",Sharjah,20164,06-5681059,,https://www.yellowpages-uae.com/uae/restaurant/al-khoor-restaurant-129363.html,
Al Kurup Restaurant,"Near Taxi Station, Industrial Area",Umm Al Quwain,387,06-7664386,,https://www.yellowpages-uae.com/uae/restaurant/al-kurup-restaurant-45183.html,
Al Maharah Restaurant,"Opp Al Majaz Park, Al Wahda St",Sharjah,23935,06-5599554,,https://www.yellowpages-uae.com/uae/restaurant/al-maharah-restaurant-106286.html,
Al Majas Restaurant LLC,Bur Dubai,Dubai,102995,04-3930042,055-4469185,https://www.yellowpages-uae.com/uae/restaurant/al-majas-restaurant-llc-175225.html,
Al Malaki Rajasthan Restaurant,"Near Wafa Supermarket, National Paint",Sharjah,25648,06-5340441,,https://www.yellowpages-uae.com/uae/restaurant/al-malaki-rajasthan-restaurant-147202.html,
Al Mallas,"Jumeirah St, Umm Suqeim 2",Dubai,,800-625527,,https://www.yellowpages-uae.com/uae/restaurant/al-mallas-148174.html,
Al Manbar Cafeteria,"Near Fire Station, Muwaileh",Sharjah,,06-5356919,,https://www.yellowpages-uae.com/uae/restaurant/al-manbar-cafeteria-147103.html,
Al Manbar Restaurant & Cafeteria,"Near Fair Point, Kalba Rd, Indl Area 17",Sharjah,,06-5359454,,https://www.yellowpages-uae.com/uae/restaurant/al-manbar-restaurant-cafeteria-147657.html,
Al Mansoori Restaurant,Khalidiya,Abu Dhabi,42756,02-6219001,,https://www.yellowpages-uae.com/uae/restaurant/al-mansoori-restaurant-126752.html,
Al Marasim Al Afghani Restaurant,"Near KM Trading, Opp Tasheel. Abu Shagara",Sharjah,,06-5599356,055-5591417,https://www.yellowpages-uae.com/uae/restaurant/al-marasim-al-afghani-restaurant-175591.html,
Al Mathaq Al Shamsi Restaurant,"Frij Murar, Deira",Dubai,,04-2711945,050-1596211,https://www.yellowpages-uae.com/uae/restaurant/al-mathaq-al-shamsi-restaurant-175204.html,
Al Mayass Restaurant,Abu Dhabi Corniche,Abu Dhabi,,02-6440440,,https://www.yellowpages-uae.com/uae/restaurant/al-mayass-restaurant-175666.html,
Al Minar Restaurant,Deira,Dubai,,04-2222622,,https://www.yellowpages-uae.com/uae/restaurant/al-minar-restaurant-147690.html,
Al Misyal Bar,Liwa,Abu Dhabi,,02-8822000,,https://www.yellowpages-uae.com/uae/restaurant/al-misyal-bar-151062.html,
Al Mobile Restaurant,"Bhnd Central Bank, Abu Shagara",Sharjah,,06-5593398,,https://www.yellowpages-uae.com/uae/restaurant/al-mobile-restaurant-148303.html,
Al Nafoora Restaurant - Coral Deira Dubai,Al Muraqabbat Road,Dubai,82999,04-2128268,,https://www.yellowpages-uae.com/uae/restaurant/al-nafoora-restaurant-coral-deira-dubai-148974.html,
Al Nahda Palace LLC,Al Nahda,Sharjah,,06-5454422,,https://www.yellowpages-uae.com/uae/restaurant/al-nahda-palace-llc-103632.html,
Al Nakheel Lounge - Grand Hyatt Dubai,Nakheel,Dubai,7978,04-3171100,,https://www.yellowpages-uae.com/uae/restaurant/al-nakheel-lounge-grand-hyatt-dubai-122465.html,
Al Naseem Al Akhdar Restaurant,"Behind Fortune Hotel, Naif",Dubai,,04-2233661,,https://www.yellowpages-uae.com/uae/restaurant/al-naseem-al-akhdar-restaurant-175250.html,
Al Nashmi Restaurant,"Behind UAE Exchange, Bur Dubai",Dubai,,04-3539926,050-2589257,https://www.yellowpages-uae.com/uae/restaurant/al-nashmi-restaurant-175580.html,
Al Nasr Cinema Restaurant,"Lulu Village, Muhaisnah, Qusais",Dubai,7135,04-2641925,,https://www.yellowpages-uae.com/uae/restaurant/al-nasr-cinema-restaurant-117807.html,
Al Nasr Restaurant,"R/A 5, Jebel Ali Free Zone",Jebel Ali,16837,04-8818600,,https://www.yellowpages-uae.com/uae/restaurant/al-nasr-restaurant-113698.html,
Al Nedaa Cafeteria,Bur Dubai,Dubai,85549,04-3593136,,https://www.yellowpages-uae.com/uae/restaurant/al-nedaa-cafeteria-117716.html,
Al Noaman Restaurant and Cafeteria,"Sh Ahmed Bin Mohd Sharqi Road, Dibba Al Fujairah",Dibba,12134,09-2441404,,https://www.yellowpages-uae.com/uae/restaurant/al-noaman-restaurant-and-cafeteria-59191.html,
Al Nouman Rest and Catering,Dibba,Fujairah,13124,09-2441404,,https://www.yellowpages-uae.com/uae/restaurant/al-nouman-rest-and-catering-131600.html,
Al Omara Al Jadeed Restaurant,"Near Main Gate, R/A 5, Jebel Ali Free Zone",Jebel Ali,16837,04-8818518,,https://www.yellowpages-uae.com/uae/restaurant/al-omara-al-jadeed-restaurant-119548.html,
Al Qabael Restaurant,Al Quoz 3,Dubai,11780,04-3392633,,https://www.yellowpages-uae.com/uae/restaurant/al-qabael-restaurant-111850.html,
Al Qantarah Restaurant,Al Nahda,Sharjah,,06-5316696,,https://www.yellowpages-uae.com/uae/restaurant/al-qantarah-restaurant-147668.html,
Al Qasaba Restaurant,Al Zahara,Ajman,1259,06-7431383,,https://www.yellowpages-uae.com/uae/restaurant/al-qasaba-restaurant-117300.html,
Al Qasr Grills,TCA,Abu Dhabi,45240,02-6449933,,https://www.yellowpages-uae.com/uae/restaurant/al-qasr-grills-102718.html,
Al Qubtan Restaurant,,Dubai,36093,04-2850530,,https://www.yellowpages-uae.com/uae/restaurant/al-qubtan-restaurant-151882.html,
Al Rabash Mandi Restaurant,Al Nahda,Dubai,,04-2344455,,https://www.yellowpages-uae.com/uae/restaurant/al-rabash-mandi-restaurant-68521.html,
Al Raousha Restaurant & Grills,"Behind First Abu Dhabi Bank, Near Al Noor Hospital, Khalifa Street, Al Markaziya",Abu Dhabi,,02-6272637,,https://www.yellowpages-uae.com/uae/restaurant/al-raousha-restaurant-grills-175535.html,
Al Rawaq,Liwa,Abu Dhabi,,02-8822000,,https://www.yellowpages-uae.com/uae/restaurant/al-rawaq-151063.html,
Al Razooqi Restaurant,Al Quoz,Dubai,,04-3383183,,https://www.yellowpages-uae.com/uae/restaurant/al-razooqi-restaurant-147697.html,
Al Reef Al Yamani Restaurant & Bakeries,Abu Hail,Dubai,,04-2699910,055-9544426,https://www.yellowpages-uae.com/uae/restaurant/al-reef-al-yamani-restaurant-bakeries-172955.html,
Al Reef Lebanese Rest & Grills,Al Qusais,Dubai,2601,04-2632700,,https://www.yellowpages-uae.com/uae/restaurant/al-reef-lebanese-rest-grills-128809.html,
Al Reem Trays Restaurant,,Abu Dhabi,,02-6668649,,https://www.yellowpages-uae.com/uae/restaurant/al-reem-trays-restaurant-102722.html,
Al Saad Restaurant,"Al Nakheel, Opp Al Rais Travels",Ras Al Khaimah,13135,07-2283889,,https://www.yellowpages-uae.com/uae/restaurant/al-saad-restaurant-139777.html,
Al Safadi Grill & Restaurant,Al Qassimia,Sharjah,,06-5751235,,https://www.yellowpages-uae.com/uae/restaurant/al-safadi-grill-restaurant-147114.html,
Al Safary Restaurant,"Central Market, Dibba Al Hassan",Dibba,12116,09-2444749,,https://www.yellowpages-uae.com/uae/restaurant/al-safary-restaurant-59202.html,
Al Safsaf Restaurant,Mussafah 10,Abu Dhabi,,02-5522585,,https://www.yellowpages-uae.com/uae/restaurant/al-safsaf-restaurant-145575.html,
Al Sahil Al Jadeed Restaurant,Abu Shagara,Sharjah,,06-5485996,056-6966631,https://www.yellowpages-uae.com/uae/restaurant/al-sahil-al-jadeed-restaurant-175358.html,
Al Sakab,Shaikh Zayed Road,Dubai,,04-3234333,,https://www.yellowpages-uae.com/uae/restaurant/al-sakab-67333.html,
Al Satwa Garden Restaurant,Satwa,Dubai,,04-3290052,,https://www.yellowpages-uae.com/uae/restaurant/al-satwa-garden-restaurant-147661.html,
Al Shahama Cafeteria,"Muradi Rd, Satwa",Dubai,,04-3327375,,https://www.yellowpages-uae.com/uae/restaurant/al-shahama-cafeteria-145694.html,
Al Shaheen Restaurant,Bateen,Abu Dhabi,46127,02-6651164,,https://www.yellowpages-uae.com/uae/restaurant/al-shaheen-restaurant-123136.html,
Al Shaki Restaurant,"Oman Rd, Al Nakheel",Ras Al Khaimah,11598,07-2288354,,https://www.yellowpages-uae.com/uae/restaurant/al-shaki-restaurant-138414.html,
Al Sham Rose Restaurant,"Next to Dubai Women's College, Bhnd NMC, Al Qusais",Dubai,,04-2677917,,https://www.yellowpages-uae.com/uae/restaurant/al-sham-rose-restaurant-144665.html,
Al Sham Village Restaurant,"Jumeirah Beach Road, Umm Suqeim 2",Dubai,233485,04-3399517,,https://www.yellowpages-uae.com/uae/restaurant/al-sham-village-restaurant-175540.html,
Al Shamah Cafeteria,"Near Al Wafa Centre, Muweilah",Sharjah,,06-5356366,,https://www.yellowpages-uae.com/uae/restaurant/al-shamah-cafeteria-147659.html,
Al Shameat Restaurant,"Near Al Waheda Post, Jamal Abdel Naser St",Sharjah,,06-5535505,,https://www.yellowpages-uae.com/uae/restaurant/al-shameat-restaurant-146794.html,
Al Shami Corner Rest,Jamal Abdul Nasir St,Sharjah,,06-5558086,,https://www.yellowpages-uae.com/uae/restaurant/al-shami-corner-rest-147658.html,
Al Shater Hassan Restaurant,,Abu Dhabi,,02-6416616,,https://www.yellowpages-uae.com/uae/restaurant/al-shater-hassan-restaurant-145666.html,
Al Sheraa Al Dahbi Seafood Restaurant,Khalifa St,Abu Dhabi,41230,02-6277204,,https://www.yellowpages-uae.com/uae/restaurant/al-sheraa-al-dahbi-seafood-restaurant-142541.html,
Al Sheraa Al Dhabi Restaurant,Khalfa Street A Noor Hosptal Bldg.,Abu Dhabi,,050-8383454,,https://www.yellowpages-uae.com/uae/restaurant/al-sheraa-al-dhabi-restaurant-144769.html,
Al Sheraa Dhahabi Sea Food Restaurant,Khalifa St,Abu Dhabi,41230,02-6277204,,https://www.yellowpages-uae.com/uae/restaurant/al-sheraa-dhahabi-sea-food-restaurant-145667.html,
Al Shorafa Restaurant,Bur Dubai,Dubai,50589,04-3935678,,https://www.yellowpages-uae.com/uae/restaurant/al-shorafa-restaurant-121486.html,
Al Shorfa Restaurant And Cafe,Dubai Marina,Dubai,238888,04-4525254,,https://www.yellowpages-uae.com/uae/restaurant/al-shorfa-restaurant-and-cafe-154468.html,
Al Sibtain Restaurant,Old Passport Rd,Abu Dhabi,55104,02-6723472,,https://www.yellowpages-uae.com/uae/restaurant/al-sibtain-restaurant-134171.html,
Al Sirath Restaurant & Grill,Al Qassimia,Sharjah,,06-5743422,,https://www.yellowpages-uae.com/uae/restaurant/al-sirath-restaurant-grill-146603.html,
Al Subat Restaurant,"Al Zahra St, Maysaloon",Sharjah,,06-5638988,,https://www.yellowpages-uae.com/uae/restaurant/al-subat-restaurant-147325.html,
Al Sukaria Restaurant & Cafe,"Al Sheebani Building, Al Seba St, Dubai Marina",Dubai,,04-5530501,,https://www.yellowpages-uae.com/uae/restaurant/al-sukaria-restaurant-cafe-172956.html,
Al Sultan Restaurant,Defence Rd,Abu Dhabi,70070,02-6415035,,https://www.yellowpages-uae.com/uae/restaurant/al-sultan-restaurant-129563.html,
Al Sultan Restaurant,"Opp Dubai Comml Bank, Al Nakheel",Ras Al Khaimah,1063,07-2221076,,https://www.yellowpages-uae.com/uae/restaurant/al-sultan-restaurant-121006.html,
Al Surur Traditional Kitchen,Ras Al Khor,Dubai,66743,04-2894328,,https://www.yellowpages-uae.com/uae/restaurant/al-surur-traditional-kitchen-152407.html,
